			Bx	By	Bz
-300	-80	-120	-5.38E-02	1.02E+00	-2.13E-02
-300	-80	-100	-5.32E-02	1.03E+00	-1.75E-02
-300	-80	-80	-4.56E-02	1.03E+00	-1.50E-02
-300	-80	-60	-4.48E-02	1.03E+00	-9.92E-03
-300	-80	-40	-4.39E-02	1.04E+00	-4.88E-03
-300	-80	-20	-4.44E-02	1.04E+00	-3.54E-03
-300	-80	0	-4.53E-02	1.03E+00	9.60E-04
-300	-80	20	-4.62E-02	1.03E+00	5.46E-03
-300	-80	40	-4.85E-02	1.03E+00	2.78E-04
-300	-80	60	-4.80E-02	1.03E+00	1.14E-02
-300	-80	80	-5.14E-02	1.03E+00	1.45E-02
-300	-80	100	-5.42E-02	1.03E+00	1.96E-02
-300	-80	120	-5.69E-02	1.03E+00	2.46E-02
-300	-80	140	-5.56E-02	1.02E+00	3.15E-02
-300	-80	160	-6.06E-02	1.01E+00	3.69E-02
-300	-80	180	-6.57E-02	1.01E+00	4.00E-02
-300	-80	200	-7.69E-02	1.00E+00	5.33E-02
-300	-80	220	-8.81E-02	9.92E-01	6.66E-02
-300	-80	240	-9.87E-02	9.82E-01	7.98E-02
-300	-80	260	-9.71E-02	9.57E-01	8.58E-02
-300	-80	280	-1.14E-01	9.42E-01	1.11E-01
-300	-80	300	-1.17E-01	9.19E-01	1.25E-01
-300	-60	-300	-9.47E-02	8.82E-01	-1.01E-01
-300	-60	-280	-8.95E-02	9.17E-01	-8.33E-02
-300	-60	-260	-9.22E-02	9.27E-01	-7.38E-02
-300	-60	-240	-8.81E-02	9.41E-01	-8.28E-02
-300	-60	-220	-5.70E-02	9.55E-01	-4.26E-02
-300	-60	-200	-6.40E-02	9.90E-01	-4.82E-02
-300	-60	-180	-5.77E-02	9.95E-01	-3.93E-02
-300	-60	-160	-5.13E-02	1.00E+00	-3.04E-02
-300	-60	-140	-4.52E-02	1.01E+00	-2.00E-02
-300	-60	-120	-4.46E-02	1.01E+00	-1.61E-02
-300	-60	-100	-4.25E-02	1.01E+00	-1.49E-02
-300	-60	-80	-4.00E-02	1.02E+00	-1.33E-02
-300	-60	-60	-3.93E-02	1.02E+00	-6.01E-03
-300	-60	-40	-3.85E-02	1.02E+00	-9.74E-04
-300	-60	-20	-3.87E-02	1.02E+00	-5.93E-03
-300	-60	0	-3.97E-02	1.02E+00	-1.44E-03
-300	-60	20	-3.97E-02	1.02E+00	2.26E-03
-300	-60	40	-4.15E-02	1.02E+00	3.79E-04
-300	-60	60	-4.09E-02	1.02E+00	8.89E-03
-300	-60	80	-4.46E-02	1.02E+00	1.16E-02
-300	-60	100	-4.89E-02	1.01E+00	1.83E-02
-300	-60	120	-3.89E-02	1.01E+00	1.70E-02
-300	-60	140	-4.43E-02	1.00E+00	2.48E-02
-300	-60	160	-5.80E-02	9.95E-01	2.84E-02
-300	-60	180	-6.29E-02	9.87E-01	3.45E-02
-300	-60	200	-6.37E-02	9.82E-01	4.39E-02
-300	-60	220	-6.83E-02	9.64E-01	5.26E-02
-300	-60	240	-7.41E-02	9.49E-01	6.18E-02
-300	-60	260	-8.30E-02	9.33E-01	7.57E-02
-300	-60	280	-8.88E-02	9.08E-01	8.54E-02
-300	-60	300	-9.11E-02	8.76E-01	1.02E-01
-300	-40	-300	-6.86E-02	8.61E-01	-7.39E-02
-300	-40	-280	-6.58E-02	8.87E-01	-6.09E-02
-300	-40	-260	-6.31E-02	9.13E-01	-4.80E-02
-300	-40	-240	-6.06E-02	9.32E-01	-5.61E-02
-300	-40	-220	-4.02E-02	9.48E-01	-3.20E-02
-300	-40	-200	-3.99E-02	9.59E-01	-2.85E-02
-300	-40	-180	-3.96E-02	9.69E-01	-2.51E-02
-300	-40	-160	-3.93E-02	9.80E-01	-2.16E-02
-300	-40	-140	-3.60E-02	9.92E-01	-1.48E-02
-300	-40	-120	-3.41E-02	9.95E-01	-1.28E-02
-300	-40	-100	-3.17E-02	9.99E-01	-1.12E-02
-300	-40	-80	-2.92E-02	1.00E+00	-9.56E-03
-300	-40	-60	-2.67E-02	1.01E+00	-7.96E-03
-300	-40	-40	-3.31E-02	1.01E+00	2.93E-03
-300	-40	-20	-3.31E-02	1.01E+00	-8.33E-03
-300	-40	0	-3.07E-02	1.01E+00	1.16E-03
-300	-40	20	-3.15E-02	1.01E+00	1.77E-03
-300	-40	40	-3.23E-02	1.01E+00	2.37E-03
-300	-40	60	-3.39E-02	1.01E+00	6.39E-03
-300	-40	80	-3.75E-02	1.01E+00	9.14E-03
-300	-40	100	-3.25E-02	9.99E-01	1.02E-02
-300	-40	120	-3.25E-02	9.96E-01	1.12E-02
-300	-40	140	-3.18E-02	9.96E-01	2.14E-02
-300	-40	160	-4.13E-02	9.83E-01	2.29E-02
-300	-40	180	-4.28E-02	9.71E-01	2.66E-02
-300	-40	200	-4.44E-02	9.60E-01	3.03E-02
-300	-40	220	-5.11E-02	9.42E-01	3.77E-02
-300	-40	240	-5.69E-02	9.27E-01	4.69E-02
-300	-40	260	-5.90E-02	9.06E-01	5.08E-02
-300	-40	280	-6.48E-02	8.81E-01	6.05E-02
-300	-40	300	-7.12E-02	8.49E-01	6.67E-02
-300	-20	-300	-3.92E-02	8.38E-01	-2.95E-02
-300	-20	-280	-3.67E-02	8.73E-01	-3.51E-02
-300	-20	-260	-3.43E-02	8.96E-01	-3.17E-02
-300	-20	-240	-3.32E-02	9.23E-01	-2.94E-02
-300	-20	-220	-2.33E-02	9.41E-01	-2.14E-02
-300	-20	-200	-2.30E-02	9.51E-01	-1.79E-02
-300	-20	-180	-2.27E-02	9.62E-01	-1.45E-02
-300	-20	-160	-2.24E-02	9.73E-01	-1.10E-02
-300	-20	-140	-2.22E-02	9.76E-01	-1.99E-02
-300	-20	-120	-1.91E-02	9.81E-01	-6.66E-03
-300	-20	-100	-1.88E-02	9.86E-01	-6.35E-03
-300	-20	-80	-1.85E-02	9.91E-01	-6.04E-03
-300	-20	-60	-1.59E-02	9.92E-01	-4.27E-03
-300	-20	-40	-1.17E-02	9.95E-01	-3.18E-03
-300	-20	-20	-5.35E-03	9.88E-01	-5.83E-03
-300	-20	0	-2.16E-02	1.00E+00	6.52E-04
-300	-20	20	-2.10E-02	9.99E-01	1.21E-03
-300	-20	40	-1.72E-02	9.97E-01	1.68E-03
-300	-20	60	-2.75E-02	9.96E-01	3.22E-03
